,username,name,id,description,created_at,tweet_count,public_metrics
75,Adeyemo92929521,Adeyemo Oluwatoyin,1.4824617401640796e+18,"Lovely lady, registered nurse, caring for the spirit, soul and body.",2022-01-15T21:16:55.000Z,,
76,LaSauceRouge,Sarah Little,313202617.0,NHS nurse. Mostly here for cats and babies. she/her,2011-06-08T09:05:56.000Z,,
77,andreaworsdale,worsdale💙,2895112925.0,Registered Nurse Lung Cancer Specialist Nurse in North East England with interest in critical care nursing,2014-11-27T20:40:38.000Z,,
78,UoLAdultNursing,UoL adult nursing,1.589298262800048e+18,University of Leeds Adult Nursing informal community page. For support & well-being please contact https://t.co/ISLXrRvqa1 #studentnurse,2022-11-06T16:47:53.000Z,,
79,Tracycatherall1,Tracycatherall,1.0374648397681664e+18,"nurse, mum, passionate about wildlife, nature & animals. Amateur photographer, clarinet player. Triple negative breast cancer survivor.",2018-09-05T22:17:47.000Z,,
80,jen1bub,Jennifer Richardson,3240637149.0,"Wife, mum, Staff nurse ward 204 RIE.",2015-05-07T16:29:39.000Z,,
81,Hartofthematte1,Hartofthematter,1.4989259264443228e+18,Georgie to all.Dyslexic. Passionate person and nurse and mother of 2. Interested in respiratory care and kindness above all. my views are my own,2022-03-02T07:39:37.000Z,,
82,MaeveWheelhouse,maeve wheelhouse,3592447036.0,Infection surveillance nurse in ITU and mother to a teen!,2015-09-08T23:15:36.000Z,,
83,wendyvassallo19,Wendy Vassallo,1.5116347814271877e+18,"An extensive background in Emergency nursing and pre-hospital care. Special interest in the acutely unwell, major trauma , research and clinical education",2022-04-06T09:19:59.000Z,,
84,LauraKosse,Chocoholic 💙,192558945.0,"Dutch // living the British life // Music is my oxygen, food is my life & sleeping my hobby // I like taking pictures of things I find pretty // nurse // F1 fan",2010-09-19T14:12:44.000Z,,
85,KEcaaYKGa9RNqSD,Giscard MWIZERWA,1.4257622551242752e+18,I like nursing career,2021-08-12T10:13:22.000Z,,
86,MisShortie,Claire M,20156318.0,"Part-time gamer, Full-time nerd. Critical Care nurse with a passion for all things food, fluffy animals and science! All views my own ❤️",2009-02-05T15:27:03.000Z,,
87,JuliaTaylor5,Julia Taylor 💙#FBPE,302712865.0,"former Oncology/Palliative Care C.N.S. (Tried retiring...hated it!)
#Districtnurse.
#remainer.#proEuropean.#toriesout
#loveSpaniels. #Gin. #ponds.#Books. #food.",2011-05-21T16:46:53.000Z,,
88,sophstockley,Sophie Stockley,150809277.0,Mama to Henry George💙 General Practice nurse👩🏻‍⚕️🩺,2010-06-01T22:02:37.000Z,,
